Date,Time,PM25C
1/1/10,0:00:00,25.27 
1/1/10,1:00:00,28.08 
1/1/10,2:00:00,23.61 
1/1/10,3:00:00,22.90 
1/1/10,4:00:00,27.47 
1/1/10,5:00:00,28.03 
1/1/10,6:00:00,33.31 
1/1/10,7:00:00,28.91 
1/1/10,8:00:00,27.74 
1/1/10,9:00:00,26.60 
1/1/10,10:00:00,23.40 
1/1/10,11:00:00,23.52 
1/1/10,12:00:00,24.62 
1/1/10,13:00:00,23.69 
1/1/10,14:00:00,18.49 
1/1/10,15:00:00,18.99 
1/1/10,16:00:00,19.36 
1/1/10,17:00:00,19.49 
1/1/10,18:00:00,20.37 
1/1/10,19:00:00,19.68 
1/1/10,20:00:00,18.01 
1/1/10,21:00:00,14.99 
1/1/10,22:00:00,13.23 
1/1/10,23:00:00,10.27 
1/2/10,0:00:00,5.36 
1/2/10,1:00:00,7.39 
1/2/10,2:00:00,8.28 
1/2/10,3:00:00,7.92 
1/2/10,4:00:00,10.82 
1/2/10,5:00:00,8.54 
1/2/10,6:00:00,7.90 
1/2/10,7:00:00,6.84 
1/2/10,8:00:00,6.93 
1/2/10,9:00:00,7.30 
1/2/10,10:00:00,8.11 
1/2/10,11:00:00,7.08 
1/2/10,12:00:00,8.46 
1/2/10,13:00:00,9.29 
1/2/10,14:00:00,10.77 
1/2/10,15:00:00,10.43 
1/2/10,16:00:00,9.83 
1/2/10,17:00:00,11.43 
1/2/10,18:00:00,10.52 
1/2/10,19:00:00,10.81 
1/2/10,20:00:00,10.61 
1/2/10,21:00:00,10.01 
1/2/10,22:00:00,10.46 
1/2/10,23:00:00,8.56 
1/3/10,0:00:00,8.81 
1/3/10,1:00:00,9.49 
1/3/10,2:00:00,8.47 
1/3/10,3:00:00,7.58 
1/3/10,4:00:00,8.74 
1/3/10,5:00:00,8.77 
1/3/10,6:00:00,8.48 
1/3/10,7:00:00,8.87 
1/3/10,8:00:00,10.49 
1/3/10,9:00:00,9.81 
1/3/10,10:00:00,9.22 
1/3/10,11:00:00,8.63 
1/3/10,12:00:00,10.86 
1/3/10,13:00:00,11.72 
1/3/10,14:00:00,11.87 
1/3/10,15:00:00,11.92 
1/3/10,16:00:00,12.82 
1/3/10,17:00:00,11.31 
1/3/10,18:00:00,10.50 
1/3/10,19:00:00,11.14 
1/3/10,20:00:00,11.03 
1/3/10,21:00:00,10.56 
1/3/10,22:00:00,9.99 
1/3/10,23:00:00,10.31 
1/4/10,0:00:00,10.30 
1/4/10,1:00:00,10.93 
1/4/10,2:00:00,9.54 
1/4/10,3:00:00,9.54 
1/4/10,4:00:00,10.17 
1/4/10,5:00:00,10.91 
1/4/10,6:00:00,12.00 
1/4/10,7:00:00,13.03 
1/4/10,8:00:00,10.50 
1/4/10,9:00:00,10.14 
1/4/10,10:00:00,9.86 
1/4/10,11:00:00,9.19 
1/4/10,12:00:00,12.23 
1/4/10,13:00:00,11.63 
1/4/10,14:00:00,11.68 
1/4/10,15:00:00,12.40 
1/4/10,16:00:00,12.73 
1/4/10,17:00:00,11.18 
1/4/10,18:00:00,11.51 
1/4/10,19:00:00,11.50 
1/4/10,20:00:00,10.07 
1/4/10,21:00:00,10.37 
1/4/10,22:00:00,9.59 
1/4/10,23:00:00,9.16 
1/5/10,0:00:00,8.89 
1/5/10,1:00:00,9.67 
1/5/10,2:00:00,10.99 
1/5/10,3:00:00,8.68 
1/5/10,4:00:00,8.73 
1/5/10,5:00:00,10.48 
1/5/10,6:00:00,13.19 
1/5/10,7:00:00,12.59 
1/5/10,8:00:00,10.01 
1/5/10,9:00:00,9.20 
1/5/10,10:00:00,8.60 
1/5/10,11:00:00,7.91 
1/5/10,12:00:00,10.39 
1/5/10,13:00:00,10.52 
1/5/10,14:00:00,10.32 
1/5/10,15:00:00,10.21 
1/5/10,16:00:00,10.87 
1/5/10,17:00:00,12.58 
1/5/10,18:00:00,12.26 
1/5/10,19:00:00,10.22 
1/5/10,20:00:00,9.42 
1/5/10,21:00:00,8.89 
1/5/10,22:00:00,8.53 
1/5/10,23:00:00,6.99 
1/6/10,0:00:00,6.88 
1/6/10,1:00:00,7.30 
1/6/10,2:00:00,7.41 
1/6/10,3:00:00,7.66 
1/6/10,4:00:00,7.64 
1/6/10,5:00:00,8.23 
1/6/10,6:00:00,8.38 
1/6/10,7:00:00,10.56 
1/6/10,8:00:00,9.57 
1/6/10,9:00:00,7.48 
1/6/10,10:00:00,4.27 
1/6/10,11:00:00,5.77 
1/6/10,12:00:00,6.63 
1/6/10,13:00:00,5.97 
1/6/10,14:00:00,6.90 
1/6/10,15:00:00,8.82 
1/6/10,16:00:00,10.73 
1/6/10,17:00:00,10.93 
1/6/10,18:00:00,10.02 
1/6/10,19:00:00,9.50 
1/6/10,20:00:00,10.12 
1/6/10,21:00:00,9.08 
1/6/10,22:00:00,8.49 
1/6/10,23:00:00,7.36 
1/7/10,0:00:00,7.86 
1/7/10,1:00:00,8.26 
1/7/10,2:00:00,8.72 
1/7/10,3:00:00,8.50 
1/7/10,4:00:00,8.11 
1/7/10,5:00:00,9.20 
1/7/10,6:00:00,9.10 
1/7/10,7:00:00,8.19 
1/7/10,8:00:00,7.82 
1/7/10,9:00:00,9.24 
1/7/10,10:00:00,7.59 
1/7/10,11:00:00,7.19 
1/7/10,12:00:00,8.74 
1/7/10,13:00:00,8.91 
1/7/10,14:00:00,10.66 
1/7/10,15:00:00,11.42 
1/7/10,16:00:00,13.39 
1/7/10,17:00:00,13.24 
1/7/10,18:00:00,13.09 
1/7/10,19:00:00,14.01 
1/7/10,20:00:00,12.74 
1/7/10,21:00:00,12.10 
1/7/10,22:00:00,11.12 
1/7/10,23:00:00,9.43 
1/8/10,0:00:00,8.59 
1/8/10,1:00:00,10.62 
1/8/10,2:00:00,13.69 
1/8/10,3:00:00,13.84 
1/8/10,4:00:00,12.22 
1/8/10,5:00:00,13.07 
1/8/10,6:00:00,15.53 
1/8/10,7:00:00,16.40 
1/8/10,8:00:00,14.92 
1/8/10,9:00:00,15.73 
1/8/10,10:00:00,14.88 
1/8/10,11:00:00,15.99 
1/8/10,12:00:00,14.63 
1/8/10,13:00:00,17.17 
1/8/10,14:00:00,17.82 
1/8/10,15:00:00,16.49 
1/8/10,16:00:00,12.37 
1/8/10,17:00:00,9.24 
1/8/10,18:00:00,9.93 
1/8/10,19:00:00,8.18 
1/8/10,20:00:00,7.84 
1/8/10,21:00:00,8.01 
1/8/10,22:00:00,7.00 
1/8/10,23:00:00,5.76 
1/9/10,0:00:00,6.09 
1/9/10,1:00:00,7.17 
1/9/10,2:00:00,6.40 
1/9/10,3:00:00,6.31 
1/9/10,4:00:00,6.48 
1/9/10,5:00:00,7.27 
1/9/10,6:00:00,7.52 
1/9/10,7:00:00,7.62 
1/9/10,8:00:00,6.41 
1/9/10,9:00:00,6.14 
1/9/10,10:00:00,5.16 
1/9/10,11:00:00,5.18 
1/9/10,12:00:00,6.02 
1/9/10,13:00:00,6.96 
1/9/10,14:00:00,7.23 
1/9/10,15:00:00,7.92 
1/9/10,16:00:00,9.82 
1/9/10,17:00:00,8.04 
1/9/10,18:00:00,8.94 
1/9/10,19:00:00,9.51 
1/9/10,20:00:00,8.64 
1/9/10,21:00:00,8.93 
1/9/10,22:00:00,8.12 
1/9/10,23:00:00,7.57 
1/10/10,0:00:00,7.32 
1/10/10,1:00:00,7.81 
1/10/10,2:00:00,7.90 
1/10/10,3:00:00,9.06 
1/10/10,4:00:00,6.90 
1/10/10,5:00:00,7.97 
1/10/10,6:00:00,7.93 
1/10/10,7:00:00,7.54 
1/10/10,8:00:00,7.13 
1/10/10,9:00:00,5.41 
1/10/10,10:00:00,5.37 
1/10/10,11:00:00,5.14 
1/10/10,12:00:00,4.62 
1/10/10,13:00:00,6.49 
1/10/10,14:00:00,8.27 
1/10/10,15:00:00,8.67 
1/10/10,16:00:00,9.59 
1/10/10,17:00:00,12.82 
1/10/10,18:00:00,11.74 
1/10/10,19:00:00,10.47 
1/10/10,20:00:00,10.11 
1/10/10,21:00:00,9.32 
1/10/10,22:00:00,9.98 
1/10/10,23:00:00,11.16 
1/11/10,0:00:00,11.11 
1/11/10,1:00:00,10.97 
1/11/10,2:00:00,10.93 
1/11/10,3:00:00,10.17 
1/11/10,4:00:00,10.44 
1/11/10,5:00:00,11.74 
1/11/10,6:00:00,12.21 
1/11/10,7:00:00,13.22 
1/11/10,8:00:00,15.57 
1/11/10,9:00:00,14.17 
1/11/10,10:00:00,13.56 
1/11/10,11:00:00,11.77 
1/11/10,12:00:00,11.99 
1/11/10,13:00:00,13.57 
1/11/10,14:00:00,11.77 
1/11/10,15:00:00,14.13 
1/11/10,16:00:00,18.02 
1/11/10,17:00:00,18.90 
1/11/10,18:00:00,20.01 
1/11/10,19:00:00,19.53 
1/11/10,20:00:00,20.16 
1/11/10,21:00:00,21.51 
1/11/10,22:00:00,21.33 
1/11/10,23:00:00,18.57 
1/12/10,0:00:00,16.73 
1/12/10,1:00:00,16.89 
1/12/10,2:00:00,17.07 
1/12/10,3:00:00,16.00 
1/12/10,4:00:00,16.31 
1/12/10,5:00:00,19.74 
1/12/10,6:00:00,19.46 
1/12/10,7:00:00,20.02 
1/12/10,8:00:00,18.70 
1/12/10,9:00:00,17.52 
1/12/10,10:00:00,15.21 
1/12/10,11:00:00,13.18 
1/12/10,12:00:00,13.57 
1/12/10,13:00:00,12.77 
1/12/10,14:00:00,15.64 
1/12/10,15:00:00,16.81 
1/12/10,16:00:00,17.24 
1/12/10,17:00:00,13.34 
1/12/10,18:00:00,12.13 
