Date,Time,PM25C,speed,standard deviation,Dew PointF,Humidity,PM25C,PrecipitationIn,Sea Level PressureIn,TemperatureF,VisibilityMPH,Wind SpeedMPH,Turnstile
4/17/10,0:00:00,3,10.45329326,4.774722407,46.3333,99.5,6.9,0.065,29.7417,46.4833,3.53333,2.56667,499
4/17/10,4:00:00,8.1,15.1301584,12.7624368,45,93,11.6,0.065,29.68,46.9,2,0.5,526
4/17/10,8:00:00,7.7,11.20506823,4.490944283,47.7,97.5,-0.5,0.00666667,29.735,48.375,1.6,0.5,2118
4/17/10,12:00:00,6.1,11.94941305,5.939706944,39,59,2.7,0.00666667,29.74,53.1,10,6.9,3447
4/17/10,16:00:00,8.3,10.31964056,4.092291044,32,47,6.3,0.00666667,29.77,52,10,11.5,3073
4/17/10,20:00:00,6.7,7.447957445,3.697763059,30,48,6.3,0.00666667,29.87,48.9,10,8.1,1946
4/18/10,0:00:00,3.5,6.471902875,5.083971921,28.9,51,2.3,0.00666667,29.87,46,10,4.6,712
4/18/10,4:00:00,3,10.11940339,6.067902458,30,58,4.9,0.00666667,29.83,44.1,10,6.9,339
4/18/10,8:00:00,-1.6,12.91889775,1.12277973,30.9,60,-1.2,0.00666667,29.89,44.1,10,3.5,1506
4/18/10,12:00:00,2.6,8.788689844,4.947755224,32,45,2.2,0.00666667,29.87,53.1,10,11.5,2760
4/18/10,16:00:00,5.1,10.12666733,4.268092152,34,47,4,0.00666667,29.86,54,10,9.2,2492
4/18/10,20:00:00,8,310.5415566,1145.015063,30.9,45,8.3,0.00666667,29.93,52,10,10.4,648
4/19/10,0:00:00,5,7.614771616,4.908767252,32,54,4.5,0.00666667,29.93,48,10,4.6,140
4/19/10,4:00:00,7.7,10.5987711,4.527978875,30.9,52,9.8,0.00666667,29.92,48,10,6.9,2034
4/19/10,8:00:00,2,9.757585114,6.940577211,33.1,52,1.7,0.00666667,29.97,50,10,6.9,3239
4/19/10,12:00:00,4.4,7.37059083,3.547200119,32,39,4,0.00666667,29.92,57,10,13.8,3073
4/19/10,16:00:00,3.6,16.0060078,25.16148072,30.9,33,5.7,0.00666667,29.93,60.1,10,6.9,3747
4/19/10,20:00:00,7.2,11.46526757,4.797352272,32,39,6.5,0.00666667,29.98,57,10,0.5,1184
4/20/10,0:00:00,4.7,15.59532527,22.70033781,35.1,50,3.9,0.00666667,29.99,53.1,10,4.6,133
4/20/10,4:00:00,6.9,19.7380562,14.31650135,35.1,59,8.2,0.00666667,29.98,48.9,10,3.5,2024
4/20/10,8:00:00,8,12.97665635,4.991813539,37,51,2.6,0.00666667,30,55,10,4.6,3512
4/20/10,12:00:00,1.8,9.252218695,3.608889815,34,30,3.1,0.00666667,29.94,66.9,10,4.6,2645
4/20/10,16:00:00,8.5,10.1672036,7.641189857,34,30,8.4,0.00666667,29.86,66.9,10,4.6,3960
4/20/10,20:00:00,11.2,10.40025333,5.124945999,37.9,44,11.6,0.00666667,29.88,60.1,10,3.5,1364
4/21/10,0:00:00,8,12.19604241,5.85855129,41,53,8.5,0.00666667,29.87,57.9,10,8.1,200
4/21/10,4:00:00,13,12.11481746,3.937947346,39,57,14.9,0.00666667,29.84,54,10,3.5,2013
4/21/10,8:00:00,13.9,13.14331869,7.84253588,41,51,12.8,0.00666667,29.85,59,10,4.6,3761
