,Date,Time,PM25C
0,1/1/14,0:00,11.5
1,1/1/14,1:00,13.6
2,1/1/14,2:00,13.7
3,1/1/14,3:00,12.3
4,1/1/14,4:00,12.9
5,1/1/14,5:00,13.7
6,1/1/14,6:00,14.2
7,1/1/14,7:00,14.5
8,1/1/14,8:00,15.6
9,1/1/14,9:00,12.9
10,1/1/14,10:00,11.3
11,1/1/14,11:00,10.8
12,1/1/14,12:00,13.9
13,1/1/14,13:00,15.6
14,1/1/14,14:00,15.1
15,1/1/14,15:00,16.7
16,1/1/14,16:00,17.4
17,1/1/14,17:00,20
18,1/1/14,18:00,23.3
19,1/1/14,19:00,23.9
20,1/1/14,20:00,25.2
21,1/1/14,21:00,20.9
22,1/1/14,22:00,17.6
23,1/1/14,23:00,14.7
24,1/2/14,0:00,11.9
25,1/2/14,1:00,10.8
26,1/2/14,2:00,10.5
27,1/2/14,3:00,12.2
28,1/2/14,4:00,12
29,1/2/14,5:00,16.1
30,1/2/14,6:00,33
31,1/2/14,7:00,27.3
32,1/2/14,8:00,27.6
33,1/2/14,9:00,25.1
34,1/2/14,10:00,29.3
35,1/2/14,11:00,21.2
36,1/2/14,12:00,25.1
37,1/2/14,13:00,23.9
38,1/2/14,14:00,26.2
39,1/2/14,15:00,25.3
40,1/2/14,16:00,12.6
41,1/2/14,17:00,11.3
42,1/2/14,18:00,12.8
43,1/2/14,19:00,13.7
44,1/2/14,20:00,13.2
45,1/2/14,21:00,11.8
46,1/2/14,22:00,9.8
47,1/2/14,23:00,8.7
48,1/3/14,0:00,7.4
49,1/3/14,1:00,11
50,1/3/14,2:00,10.7
51,1/3/14,3:00,12
52,1/3/14,4:00,14.1
53,1/3/14,5:00,17
54,1/3/14,6:00,17.5
55,1/3/14,7:00,19.9
56,1/3/14,8:00,18
57,1/3/14,9:00,18.1
58,1/3/14,10:00,16.1
59,1/3/14,11:00,14.6
60,1/3/14,12:00,13.6
61,1/3/14,13:00,12.7
62,1/3/14,14:00,12.5
63,1/3/14,15:00,11.8
64,1/3/14,16:00,12.6
65,1/3/14,17:00,14.6
66,1/3/14,18:00,19.8
67,1/3/14,19:00,19.1
68,1/3/14,20:00,18.1
69,1/3/14,21:00,17
70,1/3/14,22:00,15.4
71,1/3/14,23:00,14
72,1/4/14,0:00,13.9
73,1/4/14,1:00,13.2
74,1/4/14,2:00,15.3
75,1/4/14,3:00,18.3
76,1/4/14,4:00,20.5
77,1/4/14,5:00,18.4
78,1/4/14,6:00,20
79,1/4/14,7:00,18.4
80,1/4/14,8:00,24.3
81,1/4/14,9:00,14.8
82,1/4/14,10:00,9.3
83,1/4/14,11:00,7.5
84,1/4/14,12:00,10.3
85,1/4/14,13:00,8.6
86,1/4/14,14:00,9.7
87,1/4/14,15:00,11
88,1/4/14,16:00,8.5
89,1/4/14,17:00,11.1
90,1/4/14,18:00,12.7
91,1/4/14,19:00,13.7
92,1/4/14,20:00,13.4
93,1/4/14,21:00,16.6
94,1/4/14,22:00,18.5
95,1/4/14,23:00,17.6
96,1/5/14,0:00,16.3
97,1/5/14,1:00,19.9
98,1/5/14,2:00,20.8
99,1/5/14,3:00,36.7
100,1/5/14,4:00,19.9
101,1/5/14,5:00,19.2
102,1/5/14,6:00,22.4
103,1/5/14,7:00,23.6
104,1/5/14,8:00,21.1
105,1/5/14,9:00,15.7
106,1/5/14,10:00,12.8
107,1/5/14,11:00,14.1
108,1/5/14,12:00,20.4
109,1/5/14,13:00,26.2
110,1/5/14,14:00,26.9
111,1/5/14,15:00,28.8
112,1/5/14,16:00,32.4
113,1/5/14,17:00,21.2
114,1/5/14,18:00,21.8
115,1/5/14,19:00,24
116,1/5/14,20:00,24.5
117,1/5/14,21:00,19.6
118,1/5/14,22:00,18.2
119,1/5/14,23:00,7.3
120,1/6/14,0:00,2.6
121,1/6/14,1:00,2.7
122,1/6/14,2:00,3.8
123,1/6/14,3:00,2.3
124,1/6/14,4:00,3.3
125,1/6/14,5:00,4.9
126,1/6/14,6:00,5.5
127,1/6/14,7:00,7.6
128,1/6/14,8:00,8.3
129,1/6/14,9:00,3.8
130,1/6/14,10:00,7.3
131,1/6/14,11:00,9.5
132,1/6/14,12:00,8.9
133,1/6/14,13:00,9
134,1/6/14,14:00,12.4
135,1/6/14,15:00,12.6
136,1/6/14,16:00,11
137,1/6/14,17:00,13.6
138,1/6/14,18:00,12.2
139,1/6/14,19:00,14
140,1/6/14,20:00,10.9
141,1/6/14,21:00,11.7
142,1/6/14,22:00,12.7
143,1/6/14,23:00,13.3
144,1/7/14,0:00,11.8
145,1/7/14,1:00,11.9
146,1/7/14,2:00,11.5
147,1/7/14,3:00,10.3
148,1/7/14,4:00,11.5
149,1/7/14,5:00,12.3
150,1/7/14,6:00,12.7
151,1/7/14,7:00,13.6
152,1/7/14,8:00,11.9
153,1/7/14,9:00,12.5
154,1/7/14,10:00,9.8
155,1/7/14,11:00,10.4
156,1/7/14,12:00,11
157,1/7/14,13:00,14.1
158,1/7/14,14:00,14.1
159,1/7/14,15:00,14.3
160,1/7/14,16:00,14.6
161,1/7/14,17:00,15.1
162,1/7/14,18:00,15.8
163,1/7/14,19:00,17.8
164,1/7/14,20:00,17.3
165,1/7/14,21:00,15.2
166,1/7/14,22:00,15
167,1/7/14,23:00,15.6
168,1/8/14,0:00,14.1
169,1/8/14,1:00,15.6
170,1/8/14,2:00,15.2
171,1/8/14,3:00,14.6
172,1/8/14,4:00,16.1
173,1/8/14,5:00,14.8
174,1/8/14,6:00,15.5
175,1/8/14,7:00,17.4
176,1/8/14,8:00,17.3
177,1/8/14,9:00,16
178,1/8/14,10:00,12.9
179,1/8/14,11:00,13.6
180,1/8/14,12:00,14.1
181,1/8/14,13:00,14.7
182,1/8/14,14:00,16
183,1/8/14,15:00,15.6
184,1/8/14,16:00,15.7
185,1/8/14,17:00,16.3
186,1/8/14,18:00,18.7
187,1/8/14,19:00,17.7
188,1/8/14,20:00,18.2
189,1/8/14,21:00,18.3
190,1/8/14,22:00,15.4
191,1/8/14,23:00,18.8
192,1/9/14,0:00,18
193,1/9/14,1:00,15
194,1/9/14,2:00,16.4
195,1/9/14,3:00,16.7
196,1/9/14,4:00,17.9
197,1/9/14,5:00,19.8
198,1/9/14,6:00,16.7
199,1/9/14,7:00,18.3
