Date(YYYY-MM-DD),Time (HH24:MI),PM25C ug/m3LC
1/1/09,0:00,6.9
1/1/09,1:00,10.3
1/1/09,2:00,10.7
1/1/09,3:00,9.8
1/1/09,4:00,9.7
1/1/09,5:00,11.2
1/1/09,6:00,9.9
1/1/09,7:00,10.4
1/1/09,8:00,9.9
1/1/09,9:00,9.7
1/1/09,10:00,7.2
1/1/09,11:00,3.9
1/1/09,12:00,5.8
1/1/09,13:00,6.5
1/1/09,14:00,8.2
1/1/09,15:00,8.2
1/1/09,16:00,7.4
1/1/09,17:00,9.3
1/1/09,18:00,7.2
1/1/09,19:00,6.7
1/1/09,20:00,5.7
1/1/09,21:00,5.9
1/1/09,22:00,5.8
1/1/09,23:00,7.6
1/2/09,0:00,5.3
1/2/09,1:00,4.2
1/2/09,2:00,4.6
1/2/09,3:00,2.1
1/2/09,4:00,3.2
1/2/09,5:00,3.4
1/2/09,6:00,5.5
1/2/09,7:00,7.5
1/2/09,8:00,4.3
1/2/09,9:00,7.4
1/2/09,10:00,7.4
1/2/09,11:00,6.6
1/2/09,12:00,8.8
1/2/09,13:00,9.1
1/2/09,14:00,10.3
1/2/09,15:00,10.4
1/2/09,16:00,12.4
1/2/09,17:00,12.2
1/2/09,18:00,12.3
1/2/09,19:00,12.3
1/2/09,20:00,12.9
1/2/09,21:00,12.6
1/2/09,22:00,12.5
1/2/09,23:00,12.7
1/3/09,0:00,13.1
1/3/09,1:00,13.5
1/3/09,2:00,12.5
1/3/09,3:00,10
1/3/09,4:00,11.3
1/3/09,5:00,12
1/3/09,6:00,12.3
1/3/09,7:00,13.2
1/3/09,8:00,10
1/3/09,9:00,12.2
1/3/09,10:00,7.1
1/3/09,11:00,5.5
1/3/09,12:00,7.1
1/3/09,13:00,6.9
1/3/09,14:00,6.2
1/3/09,15:00,7.6
1/3/09,16:00,6
1/3/09,17:00,7.3
1/3/09,18:00,8
1/3/09,19:00,6.9
1/3/09,20:00,7.5
1/3/09,21:00,7.8
1/3/09,22:00,6.8
1/3/09,23:00,6.2
1/4/09,0:00,5.7
1/4/09,1:00,6.7
1/4/09,2:00,6.8
1/4/09,3:00,6.5
1/4/09,4:00,6.9
1/4/09,5:00,7.3
1/4/09,6:00,6.6
1/4/09,7:00,7.5
1/4/09,8:00,6.3
1/4/09,9:00,7.5
1/4/09,10:00,6.9
1/4/09,11:00,6.3
1/4/09,12:00,6.7
1/4/09,13:00,7.6
1/4/09,14:00,9.2
1/4/09,15:00,7.1
1/4/09,16:00,7.5
1/4/09,17:00,6.8
1/4/09,18:00,6.5
1/4/09,19:00,5.3
1/4/09,20:00,6.7
1/4/09,21:00,6.9
1/4/09,22:00,6.1
1/4/09,23:00,6.8
1/5/09,0:00,5.8
1/5/09,1:00,6.1
1/5/09,2:00,6.5
1/5/09,3:00,5.4
1/5/09,4:00,6.1
1/5/09,5:00,8.4
1/5/09,6:00,7.9
1/5/09,7:00,7.9
1/5/09,8:00,7.4
1/5/09,9:00,8.1
1/5/09,10:00,7
1/5/09,11:00,7.3
1/5/09,12:00,5.6
1/5/09,13:00,6.5
1/5/09,14:00,9.4
1/5/09,15:00,8
1/5/09,16:00,8.8
1/5/09,17:00,10.2
1/5/09,18:00,7.4
1/5/09,19:00,8.5
1/5/09,20:00,7.4
1/5/09,21:00,7.8
1/5/09,22:00,7.7
1/5/09,23:00,8
1/6/09,0:00,8.7
1/6/09,1:00,8.4
1/6/09,2:00,7.8
1/6/09,3:00,7.1
1/6/09,4:00,7.8
1/6/09,5:00,8.6
1/6/09,6:00,8.5
1/6/09,7:00,7.4
1/6/09,8:00,9
1/6/09,9:00,8.9
1/6/09,10:00,8.3
1/6/09,11:00,7.6
1/6/09,12:00,7.4
1/6/09,13:00,8.5
1/6/09,14:00,8
1/6/09,15:00,8.4
1/6/09,16:00,6.9
1/6/09,17:00,8.7
1/6/09,18:00,7.5
1/6/09,19:00,7.9
1/6/09,20:00,7.6
1/6/09,21:00,6.5
1/6/09,22:00,8.8
1/6/09,23:00,7.9
1/7/09,0:00,9
1/7/09,1:00,9.8
1/7/09,2:00,9.7
1/7/09,3:00,8.3
1/7/09,4:00,9.7
1/7/09,5:00,9
1/7/09,6:00,9.3
1/7/09,7:00,6.8
1/7/09,8:00,7.3
1/7/09,9:00,5.5
1/7/09,10:00,3.6
1/7/09,11:00,2.1
1/7/09,12:00,2.8
1/7/09,13:00,2.3
1/7/09,14:00,4.7
1/7/09,15:00,4.7
1/7/09,16:00,5.3
1/7/09,17:00,5.1
1/7/09,18:00,4.7
1/7/09,19:00,3.3
1/7/09,20:00,4.9
1/7/09,21:00,3.1
1/7/09,22:00,5
1/7/09,23:00,5.4
1/8/09,0:00,4.9
1/8/09,1:00,8.4
1/8/09,2:00,8.4
1/8/09,3:00,6.6
1/8/09,4:00,6.9
1/8/09,5:00,10.9
1/8/09,6:00,7
1/8/09,7:00,9.7
1/8/09,8:00,10.3
1/8/09,9:00,8.5
1/8/09,10:00,8
1/8/09,11:00,7.5
1/8/09,12:00,7.9
1/8/09,13:00,8.6
1/8/09,14:00,7.9
1/8/09,15:00,8.9
1/8/09,16:00,9.3
1/8/09,17:00,7.3
1/8/09,18:00,7.8
1/8/09,19:00,8
1/8/09,20:00,8.2
1/8/09,21:00,7.8
1/8/09,22:00,7.1
1/8/09,23:00,7.6
1/9/09,0:00,8
1/9/09,1:00,6.9
1/9/09,2:00,8
1/9/09,3:00,7
1/9/09,4:00,8.3
1/9/09,5:00,7.8
1/9/09,6:00,7.6
1/9/09,7:00,8.1
1/9/09,8:00,8.5
1/9/09,9:00,8.1
1/9/09,10:00,7.2
1/9/09,11:00,7
1/9/09,12:00,6
1/9/09,13:00,7.1
1/9/09,14:00,8.7
1/9/09,15:00,8.2
1/9/09,16:00,8.2
1/9/09,17:00,7.2
1/9/09,18:00,8.2
1/9/09,19:00,8.1
1/9/09,20:00,7.7
1/9/09,21:00,7.4
1/9/09,22:00,6.6
1/9/09,23:00,6.6
1/10/09,0:00,6.1
1/10/09,1:00,6.8
1/10/09,2:00,6.3
1/10/09,3:00,5.9
1/10/09,4:00,6
1/10/09,5:00,6.6
1/10/09,6:00,6.4
1/10/09,7:00,6.4
1/10/09,8:00,6.2
1/10/09,9:00,6.5
1/10/09,10:00,6.8
1/10/09,11:00,5.4
1/10/09,12:00,6.9
1/10/09,13:00,6.5
1/10/09,14:00,7
1/10/09,15:00,8.7
1/10/09,16:00,8.6
1/10/09,17:00,6.5
1/10/09,18:00,6.6
1/10/09,19:00,6.9
1/10/09,20:00,6.1
1/10/09,21:00,5.7
1/10/09,22:00,7.4
1/10/09,23:00,6.6
1/11/09,0:00,8.4
1/11/09,1:00,8.5
1/11/09,2:00,8.7
1/11/09,3:00,7.3
1/11/09,4:00,6.6
1/11/09,5:00,7.5
1/11/09,6:00,8.3
1/11/09,7:00,9
1/11/09,8:00,8.9
1/11/09,9:00,10.6
1/11/09,10:00,10.1
1/11/09,11:00,8.4
1/11/09,12:00,7.7
1/11/09,13:00,8.7
1/11/09,14:00,9.4
1/11/09,15:00,11
1/11/09,16:00,8.9
1/11/09,17:00,8.4
1/11/09,18:00,8.4
1/11/09,19:00,7.4
1/11/09,20:00,8.6
1/11/09,21:00,6.5
1/11/09,22:00,8.7
1/11/09,23:00,10.6
1/12/09,0:00,9.9
1/12/09,1:00,9.8
1/12/09,2:00,10.3
1/12/09,3:00,9.2
1/12/09,4:00,7.2
1/12/09,5:00,8.7
1/12/09,6:00,8.5
1/12/09,7:00,8.8
1/12/09,8:00,10.5
1/12/09,9:00,8.3
1/12/09,10:00,8.9
1/12/09,11:00,7.1
1/12/09,12:00,6.5
1/12/09,13:00,7.4
1/12/09,14:00,7.9
1/12/09,15:00,7.1
1/12/09,16:00,7.5
1/12/09,17:00,8.8
1/12/09,18:00,8.1
1/12/09,19:00,8.1
1/12/09,20:00,8.4
1/12/09,21:00,9.6
1/12/09,22:00,9.5
1/12/09,23:00,9.8
1/13/09,0:00,9.2
1/13/09,1:00,10.1
1/13/09,2:00,9.1
1/13/09,3:00,8.4
1/13/09,4:00,6.9
1/13/09,5:00,8.4
1/13/09,6:00,10.2
1/13/09,7:00,11.7
1/13/09,8:00,11.3
1/13/09,9:00,11.8
1/13/09,10:00,10.1
1/13/09,11:00,9.3
1/13/09,12:00,8.8
1/13/09,13:00,10
1/13/09,14:00,12.7
1/13/09,15:00,13.3
1/13/09,16:00,11.5
1/13/09,17:00,12.7
1/13/09,18:00,13.7
1/13/09,19:00,11.7
1/13/09,20:00,10.2
1/13/09,21:00,10.7
1/13/09,22:00,9.5
1/13/09,23:00,5.8
1/14/09,0:00,6.8
1/14/09,1:00,9
1/14/09,2:00,6.9
1/14/09,3:00,8.8
1/14/09,4:00,6.9
1/14/09,5:00,8
1/14/09,6:00,7.2
1/14/09,7:00,7.9
1/14/09,8:00,7.3
1/14/09,9:00,6.4
1/14/09,10:00,6.6
1/14/09,11:00,5.6
1/14/09,12:00,5.4
1/14/09,13:00,7.3
1/14/09,14:00,6.8
1/14/09,15:00,7.1
1/14/09,16:00,5.2
1/14/09,17:00,6.3
1/14/09,18:00,7.4
1/14/09,19:00,6.5
1/14/09,20:00,5.4
1/14/09,21:00,6.8
1/14/09,22:00,6.6
1/14/09,23:00,6.5
1/15/09,0:00,4.4
1/15/09,1:00,6.6
1/15/09,2:00,7.2
1/15/09,3:00,6.5
1/15/09,4:00,5.7
1/15/09,5:00,6.9
1/15/09,6:00,7.3
1/15/09,7:00,7.1
1/15/09,8:00,10
1/15/09,9:00,9.1
1/15/09,10:00,13.6
1/15/09,11:00,13.6
1/15/09,12:00,32.6
1/15/09,13:00,20.5
1/15/09,14:00,16.3
1/15/09,15:00,13
1/15/09,16:00,11.2
1/15/09,17:00,12.9
1/15/09,18:00,15.5
1/15/09,19:00,15.6
1/15/09,20:00,13.3
1/15/09,21:00,10.4
1/15/09,22:00,7.6
1/15/09,23:00,5.9
1/16/09,0:00,4.1
1/16/09,1:00,4.6
1/16/09,2:00,6.5
1/16/09,3:00,6
1/16/09,4:00,5.4
1/16/09,5:00,5.7
1/16/09,6:00,6.6
1/16/09,7:00,6.1
1/16/09,8:00,6.7
1/16/09,9:00,6.5
1/16/09,10:00,4.7
1/16/09,11:00,3.7
1/16/09,12:00,3.7
1/16/09,13:00,5.2
1/16/09,14:00,6.8
1/16/09,15:00,7.4
1/16/09,16:00,7.5
1/16/09,17:00,8.6
1/16/09,18:00,7.2
1/16/09,19:00,5.4
1/16/09,20:00,5.5
1/16/09,21:00,5.5
1/16/09,22:00,6
1/16/09,23:00,4.7
1/17/09,0:00,6.8
1/17/09,1:00,6.2
1/17/09,2:00,5
1/17/09,3:00,5.2
1/17/09,4:00,5.9
1/17/09,5:00,6.9
1/17/09,6:00,8.1
1/17/09,7:00,7.9
1/17/09,8:00,7.4
1/17/09,9:00,6.7
1/17/09,10:00,5.9
1/17/09,11:00,6.2
1/17/09,12:00,6.6
1/17/09,13:00,9.5
1/17/09,14:00,9.5
1/17/09,15:00,8.8
1/17/09,16:00,7.7
1/17/09,17:00,8.8
1/17/09,18:00,8.1
1/17/09,19:00,8.6
1/17/09,20:00,8.4
1/17/09,21:00,8.5
1/17/09,22:00,8.4
1/17/09,23:00,7.7
1/18/09,0:00,8.6
1/18/09,1:00,7.3
1/18/09,2:00,10
1/18/09,3:00,10.4
1/18/09,4:00,10.8
1/18/09,5:00,11
1/18/09,6:00,11.7
1/18/09,7:00,11.1
1/18/09,8:00,11
1/18/09,9:00,9.8
1/18/09,10:00,9.4
1/18/09,11:00,7.7
1/18/09,12:00,8.8
1/18/09,13:00,10.1
1/18/09,14:00,10.9
1/18/09,15:00,12.2
1/18/09,16:00,12.2
1/18/09,17:00,12.2
1/18/09,18:00,11.7
1/18/09,19:00,10.2
1/18/09,20:00,12.2
1/18/09,21:00,9.4
1/18/09,22:00,10.9
1/18/09,23:00,12.1
1/19/09,0:00,11.7
1/19/09,1:00,12.7
1/19/09,2:00,12.5
1/19/09,3:00,12.7
1/19/09,4:00,14.2
1/19/09,5:00,13.3
1/19/09,6:00,13.8
1/19/09,7:00,13.8
1/19/09,8:00,16.2
1/19/09,9:00,15.7
1/19/09,10:00,16.8
1/19/09,11:00,14.2
1/19/09,12:00,14.7
1/19/09,13:00,13.7
1/19/09,14:00,12.1
1/19/09,15:00,13.5
1/19/09,16:00,14.9
1/19/09,17:00,18.6
1/19/09,18:00,16.1
1/19/09,19:00,16
1/19/09,20:00,15.3
1/19/09,21:00,15.4
1/19/09,22:00,16
1/19/09,23:00,16.3
1/20/09,0:00,16.3
1/20/09,1:00,15.7
1/20/09,2:00,16.5
1/20/09,3:00,15.9
1/20/09,4:00,16.6
1/20/09,5:00,16.1
1/20/09,6:00,15.4
1/20/09,7:00,14.7
1/20/09,8:00,13.3
1/20/09,9:00,12.5
1/20/09,10:00,9.3
1/20/09,11:00,9.8
1/20/09,12:00,11.4
1/20/09,13:00,11
1/20/09,14:00,11.8
1/20/09,15:00,13
1/20/09,16:00,12.5
1/20/09,17:00,9.8
1/20/09,18:00,9.1
1/20/09,19:00,8.2
1/20/09,20:00,8.2
1/20/09,21:00,8.1
1/20/09,22:00,8.3
1/20/09,23:00,9
1/21/09,0:00,8
1/21/09,1:00,7.9
1/21/09,2:00,5.9
1/21/09,3:00,3.8
1/21/09,4:00,4.8
1/21/09,5:00,6.7
1/21/09,6:00,7.4
1/21/09,7:00,7.4
1/21/09,8:00,6.4
1/21/09,9:00,6.7
1/21/09,10:00,5.3
1/21/09,11:00,4.6
1/21/09,12:00,4.7
1/21/09,13:00,6.4
1/21/09,14:00,5.7
1/21/09,15:00,7.6
1/21/09,16:00,9.6
1/21/09,17:00,9
1/21/09,18:00,11.4
1/21/09,19:00,11.6
1/21/09,20:00,11.9
1/21/09,21:00,11.7
1/21/09,22:00,11.3
1/21/09,23:00,11.8
1/22/09,0:00,10.9
1/22/09,1:00,11.7
1/22/09,2:00,9.2
1/22/09,3:00,7.5
1/22/09,4:00,8.3
1/22/09,5:00,9
1/22/09,6:00,10.9
1/22/09,7:00,11.1
1/22/09,8:00,8
1/22/09,9:00,8.6
1/22/09,10:00,9.5
1/22/09,11:00,7.6
1/22/09,12:00,8
1/22/09,13:00,8.7
1/22/09,14:00,10.6
1/22/09,15:00,11.5
1/22/09,16:00,10.7
1/22/09,17:00,11.4
1/22/09,18:00,11.3
1/22/09,19:00,11.5
1/22/09,20:00,9.3
1/22/09,21:00,8.2
1/22/09,22:00,6.6
1/22/09,23:00,6.7
1/23/09,0:00,6.9
1/23/09,1:00,7.6
1/23/09,2:00,8.2
1/23/09,3:00,7
1/23/09,4:00,6
1/23/09,5:00,5.3
1/23/09,6:00,5.9
1/23/09,7:00,5.6
1/23/09,8:00,6.6
1/23/09,9:00,5.9
1/23/09,10:00,5.1
1/23/09,11:00,8.2
1/23/09,12:00,9.7
1/23/09,13:00,14
1/23/09,14:00,16.4
1/23/09,15:00,17.9
1/23/09,16:00,22.1
1/23/09,17:00,21.9
1/23/09,18:00,20
1/23/09,19:00,18.9
1/23/09,20:00,19.1
1/23/09,21:00,20.6
1/23/09,22:00,27.7
1/23/09,23:00,21.4
1/24/09,0:00,13.4
1/24/09,1:00,9.7
1/24/09,2:00,7.8
1/24/09,3:00,7.6
1/24/09,4:00,6.7
1/24/09,5:00,6.5
1/24/09,6:00,6.3
1/24/09,7:00,6.9
1/24/09,8:00,5.8
1/24/09,9:00,7
1/24/09,10:00,5.5
1/24/09,11:00,4.9
1/24/09,12:00,6.2
1/24/09,13:00,6.6
1/24/09,14:00,7
1/24/09,15:00,7.5
1/24/09,16:00,5.6
1/24/09,17:00,5.3
1/24/09,18:00,5.4
1/24/09,19:00,6.4
1/24/09,20:00,5.9
1/24/09,21:00,5.7
1/24/09,22:00,6
1/24/09,23:00,5.5
1/25/09,0:00,5.1
1/25/09,1:00,4.6
1/25/09,2:00,5.1
1/25/09,3:00,5
1/25/09,4:00,5.8
1/25/09,5:00,5.3
1/25/09,6:00,7
1/25/09,7:00,7.1
1/25/09,8:00,6.2
1/25/09,9:00,6.2
1/25/09,10:00,7.1
1/25/09,11:00,6.9
1/25/09,12:00,7.3
1/25/09,13:00,7.4
1/25/09,14:00,8.4
1/25/09,15:00,8.6
1/25/09,16:00,10.5
1/25/09,17:00,8.7
1/25/09,18:00,7.3
1/25/09,19:00,8.2
1/25/09,20:00,8.9
1/25/09,21:00,7.8
1/25/09,22:00,8.1
1/25/09,23:00,8.6
1/26/09,0:00,8.6
1/26/09,1:00,10.1
1/26/09,2:00,10.1
1/26/09,3:00,9.2
1/26/09,4:00,8.6
1/26/09,5:00,8.2
1/26/09,6:00,8.3
1/26/09,7:00,8.2
1/26/09,8:00,8.5
1/26/09,9:00,6.4
1/26/09,10:00,5.6
1/26/09,11:00,4.9
1/26/09,12:00,5.9
1/26/09,13:00,7.9
1/26/09,14:00,10.5
1/26/09,15:00,11.5
1/26/09,16:00,12.2
1/26/09,17:00,11.9
1/26/09,18:00,11.3
1/26/09,19:00,10.1
1/26/09,20:00,10.8
1/26/09,21:00,11.1
1/26/09,22:00,7.5
1/26/09,23:00,7.6
1/27/09,0:00,7.8
1/27/09,1:00,8.6
1/27/09,2:00,8.2
1/27/09,3:00,7.9
1/27/09,4:00,8.1
1/27/09,5:00,8.2
1/27/09,6:00,7.9
1/27/09,7:00,7.9
1/27/09,8:00,8.9
1/27/09,9:00,8.6
1/27/09,10:00,7.6
1/27/09,11:00,6.2
1/27/09,12:00,5.9
1/27/09,13:00,5.6
1/27/09,14:00,6.8
1/27/09,15:00,5.5
1/27/09,16:00,6
1/27/09,17:00,4.6
1/27/09,18:00,5.3
1/27/09,19:00,6.6
1/27/09,20:00,5.7
1/27/09,21:00,4
1/27/09,22:00,4.1
1/27/09,23:00,3.1
1/28/09,0:00,3.5
1/28/09,1:00,3.5
1/28/09,2:00,3.8
1/28/09,3:00,2.3
1/28/09,4:00,4.4
1/28/09,5:00,5.4
1/28/09,6:00,3.6
1/28/09,7:00,5.3
1/28/09,8:00,4.7
1/28/09,9:00,3.4
1/28/09,10:00,4.6
1/28/09,11:00,3.4
1/28/09,12:00,3
1/28/09,13:00,3.1
1/28/09,14:00,3
1/28/09,15:00,2.8
1/28/09,16:00,1.7
1/28/09,17:00,4.4
1/28/09,18:00,3.9
1/28/09,19:00,3.6
1/28/09,20:00,5.1
1/28/09,21:00,5.4
1/28/09,22:00,10.8
1/28/09,23:00,12.6
1/29/09,0:00,14.4
1/29/09,1:00,13.9
1/29/09,2:00,10.7
1/29/09,3:00,10.2
1/29/09,4:00,10.8
1/29/09,5:00,9.1
1/29/09,6:00,9.2
1/29/09,7:00,9.4
1/29/09,8:00,7.1
1/29/09,9:00,3.4
1/29/09,10:00,4
1/29/09,11:00,3.8
1/29/09,12:00,5
1/29/09,13:00,8.2
1/29/09,14:00,9.4
1/29/09,15:00,10.1
1/29/09,16:00,11.8
1/29/09,17:00,12.6
1/29/09,18:00,12.7
1/29/09,19:00,13
1/29/09,20:00,11.5
1/29/09,21:00,11.5
1/29/09,22:00,13.4
1/29/09,23:00,13.9
1/30/09,0:00,13.7
1/30/09,1:00,15
1/30/09,2:00,14.6
1/30/09,3:00,14
1/30/09,4:00,15.8
1/30/09,5:00,15.3
1/30/09,6:00,16.3
1/30/09,7:00,13.5
1/30/09,8:00,12
1/30/09,9:00,11.9
1/30/09,10:00,12.4
1/30/09,11:00,11.8
1/30/09,12:00,11.3
1/30/09,13:00,12.3
1/30/09,14:00,13.2
1/30/09,15:00,13.9
1/30/09,16:00,11.9
1/30/09,17:00,11.6
1/30/09,18:00,10.8
1/30/09,19:00,11.5
1/30/09,20:00,12.7
1/30/09,21:00,10.1
1/30/09,22:00,11.5
1/30/09,23:00,11.2
1/31/09,0:00,13
1/31/09,1:00,11.1
1/31/09,2:00,8.8
1/31/09,3:00,4.6
1/31/09,4:00,3.5
1/31/09,5:00,5.4
1/31/09,6:00,6.7
1/31/09,7:00,7.2
1/31/09,8:00,7.9
1/31/09,9:00,6.7
1/31/09,10:00,6.4
1/31/09,11:00,4.7
1/31/09,12:00,4.3
1/31/09,13:00,4.8
1/31/09,14:00,4.9
1/31/09,15:00,4.2
1/31/09,16:00,4.1
1/31/09,17:00,5.5
1/31/09,18:00,4.7
1/31/09,19:00,5.3
1/31/09,20:00,5.7
1/31/09,21:00,4.7
1/31/09,22:00,4.4
1/31/09,23:00,3.4
2/1/09,0:00,4.9
2/1/09,1:00,4.7
2/1/09,2:00,4.3
2/1/09,3:00,4.2
2/1/09,4:00,5.2
2/1/09,5:00,6.2
2/1/09,6:00,6.8
2/1/09,7:00,6.8
2/1/09,8:00,12
2/1/09,9:00,12
2/1/09,10:00,12.6
2/1/09,11:00,12.4
2/1/09,12:00,13.6
2/1/09,13:00,15.6
2/1/09,14:00,15.6
2/1/09,15:00,14.6
2/1/09,16:00,12.2
2/1/09,17:00,10.2
2/1/09,18:00,8.1
2/1/09,19:00,6.5
2/1/09,20:00,7.9
2/1/09,21:00,5.6
2/1/09,22:00,5.8
2/1/09,23:00,6.5
2/2/09,0:00,5.1
2/2/09,1:00,7.7
2/2/09,2:00,8.2
2/2/09,3:00,6.7
2/2/09,4:00,7
2/2/09,5:00,7.3
2/2/09,6:00,7.4
2/2/09,7:00,7.6
2/2/09,8:00,5.8
2/2/09,9:00,4.5
2/2/09,10:00,3.9
2/2/09,11:00,4.2
2/2/09,12:00,3.7
2/2/09,13:00,4
2/2/09,14:00,5.1
2/2/09,15:00,5.1
2/2/09,16:00,5
2/2/09,17:00,4.8
2/2/09,18:00,5.6
2/2/09,19:00,5.4
2/2/09,20:00,5.1
2/2/09,21:00,6.7
2/2/09,22:00,4.9
2/2/09,23:00,5.7
2/3/09,0:00,8.9
2/3/09,1:00,7
2/3/09,2:00,5.6
2/3/09,3:00,5.7
2/3/09,4:00,5.3
2/3/09,5:00,5.4
2/3/09,6:00,6.3
2/3/09,7:00,7.1
2/3/09,8:00,8.9
2/3/09,9:00,9.1
2/3/09,10:00,4.8
2/3/09,11:00,4.2
2/3/09,12:00,3.2
2/3/09,13:00,4.2
2/3/09,14:00,6.4
2/3/09,15:00,6.4
