Station,Station_ID,1,2,3,4,5,6,7,8,9,10,11,12,13
PS 19,1,1.03%,15.92%,9.86%,41.35%,3.72%,0.36%,1.76%,14.71%,8.77%,0.40%,2.10%,0.03%,0.08138146
CCNY,2,5.06%,18.48%,13.87%,10.60%,1.77%,0.73%,0.31%,29.02%,15.84%,0.85%,3.46%,0.00%,0.09363116
Division Street,3,0.16%,2.23%,6.21%,42.92%,12.11%,3.32%,2.42%,16.01%,10.08%,1.65%,2.88%,0.02%,0.12364541
IS 143,4,0.64%,14.31%,8.67%,20.06%,6.52%,0.39%,3.92%,12.72%,27.60%,1.36%,3.08%,0.73%,0.1226444
PS 314,5,25.21%,19.16%,4.19%,8.48%,2.18%,8.56%,16.38%,6.73%,5.74%,1.72%,1.51%,0.15%,0.11072788
PS 274,6,34.38%,24.51%,3.98%,8.79%,3.79%,2.48%,0.69%,12.92%,0.60%,3.10%,4.22%,0.53%,0.07405337
Port Richmond ,7,71.83%,3.00%,0.77%,3.37%,4.21%,0.42%,1.38%,11.09%,0.68%,0.99%,2.26%,0.00%,0.05647747
Fresh Kills,8,2.74%,0.00%,0.00%,0.26%,0.30%,1.19%,74.00%,0.00%,17.88%,1.07%,2.55%,0.00%,0.03513268
IS 74,9,6.66%,8.95%,3.12%,3.35%,4.30%,18.03%,8.68%,10.36%,3.13%,5.43%,23.25%,4.74%,0.07948367
IS 52,10,11.88%,18.72%,15.48%,8.77%,5.35%,3.39%,8.48%,15.64%,6.76%,2.80%,2.50%,0.24%,0.09327743
Morrisania,11,3.60%,18.70%,20.51%,14.87%,9.21%,2.31%,2.09%,13.54%,8.67%,5.19%,1.31%,0.01%,0.09381883
Queens College,12,23.64%,9.37%,1.43%,0.19%,0.76%,0.00%,0.16%,37.58%,26.25%,0.53%,0.09%,0.00%,0.059953
Maspeth,14,58.52%,12.81%,5.00%,5.51%,0.60%,0.80%,5.49%,6.69%,2.17%,2.12%,0.30%,0.00%,0.09258401
