Station,Station_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,TIME,PM
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,20,2
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,13,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,3,2
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,19,2
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,22,2
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,22,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,12,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,0
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,7,0
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,4,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,22,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,10,0
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,20,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,6,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,1,0
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,7,0
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,15,2
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,13,0
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,4,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,5,0
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,0,0
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,16,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,23,0
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,0
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,19,2
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,11,2
