Station,PM2.5,Time,Weekday,Month,TemperatureF,Dew PointF,Sea Level PressureIn,Wind SpeedMPH,Hist
PS19,0,0,0,6,57,42.1,30.31,3.5,0
PS19,0,1,0,6,57,42.1,30.32,0,0
PS19,1,2,0,6,57.9,42.1,30.32,0,0
PS19,0,3,0,6,57.9,44.1,30.33,0,1
PS19,0,4,0,6,55.9,45,30.34,4.6,0
PS19,1,5,0,6,55,45,30.35,4.6,0
PS19,1,6,0,6,57,44.1,30.35,4.6,1
PS19,1,7,0,6,60.1,42.1,30.36,3.5,1
PS19,0,8,0,6,63,46,30.37,4.6,1
PS19,0,9,0,6,64.9,44.1,30.36,3.5,0
PS19,0,10,0,6,69.1,37.9,30.35,0,0
PS19,0,11,0,6,72,35.1,30.34,3.5,0
PS19,0,12,0,6,75.9,37,30.32,0,0
PS19,0,13,0,6,75.9,37.9,30.3,4.6,0
PS19,0,14,0,6,75,39,30.3,6.9,0
PS19,0,15,0,6,75,37,30.28,3.5,0
PS19,0,16,0,6,75,34,30.27,3.5,0
PS19,1,17,0,6,73,35.1,30.26,5.8,0
PS19,1,18,0,6,72,35.1,30.26,6.9,1
PS19,1,19,0,6,68,37,30.27,3.5,1
PS19,1,20,0,6,66.9,36,30.27,3.5,1
PS19,1,21,0,6,66,37,30.27,0,1
PS19,1,22,0,6,66.9,33.1,30.26,5.8,1
PS19,0,23,0,6,64.9,36,30.26,4.6,1
PS19,0,0,1,6,64.9,39,30.27,5.8,0
PS19,0,1,1,6,63,39.9,30.27,6.9,0
PS19,1,2,1,6,63,39,30.26,6.9,0
PS19,1,3,1,6,62.1,41,30.26,4.6,1
PS19,1,4,1,6,60.1,42.1,30.25,4.6,1
PS19,1,5,1,6,60.1,43,30.24,4.6,1
PS19,1,6,1,6,61,45,30.24,0,1
PS19,1,7,1,6,64,46.9,30.24,5.8,1
PS19,0,8,1,6,66,48,30.24,0,1
PS19,0,9,1,6,70,46.9,30.22,0,0
PS19,1,10,1,6,73,45,30.2,4.6,0
PS19,1,11,1,6,75.9,48.9,30.19,4.6,1
PS19,1,12,1,6,77,50,30.16,5.8,1
PS19,1,13,1,6,78.8,51.8,30.15,4.6,1
PS19,1,14,1,6,78.1,51.1,30.1,5.8,1
PS19,2,15,1,6,78.1,52,30.09,5.8,1
PS19,2,16,1,6,79,52,30.06,4.6,2
PS19,2,17,1,6,78.1,55,30.04,3.5,2
PS19,2,18,1,6,78.1,55.9,30.03,3.5,2
PS19,2,19,1,6,78.1,55,30.02,5.8,2
PS19,2,20,1,6,77,54,30.02,3.5,2
PS19,2,21,1,6,75,53.1,30.03,0,2
PS19,1,22,1,6,73.9,54,30.03,3.5,2
PS19,1,23,1,6,72,54,30.03,5.8,1
PS19,1,0,1,6,71.1,53.1,30.03,5.8,1
PS19,1,1,1,6,70,54,30.01,6.9,1
PS19,1,2,1,6,69.1,54,30,8.1,1
PS19,1,3,1,6,69.1,54,29.99,5.8,1
PS19,2,4,1,6,68,54,29.98,4.6,1
PS19,2,5,1,6,68,55,29.99,3.5,2
PS19,2,6,1,6,69.1,55.9,29.98,0,2
PS19,2,7,1,6,70,55.9,29.97,6.9,2
PS19,2,8,1,6,73,57,29.97,4.6,2
PS19,2,9,1,6,77,59,29.95,0,2
PS19,2,10,1,6,82,62.1,29.94,0,2
PS19,2,11,1,6,84.9,63,29.92,3.5,2
PS19,2,12,1,6,86,64,29.91,4.6,2
PS19,2,13,1,6,86,63,29.88,6.9,2
PS19,1,14,1,6,82.9,62.1,29.86,9.2,2
PS19,1,15,1,6,82,61,29.84,8.1,1
PS19,2,16,1,6,81,60.1,29.82,3.5,1
PS19,2,17,1,6,77,64,29.85,4.6,2
PS19,2,18,1,6,72,70,29.86,0,2
PS19,2,19,1,6,72,70,29.83,4.6,2
PS19,2,20,1,6,71.1,68,29.83,0,2
PS19,1,21,1,6,70,66.9,29.84,4.6,2
PS19,1,22,1,6,68,66,29.85,5.8,1
PS19,1,23,1,6,66.9,64,29.84,0,1
PS19,1,0,1,6,66,63,29.82,0,1
PS19,1,1,1,6,64.9,61,29.83,10.4,1
PS19,1,2,1,6,64.9,61,29.8,3.5,1
PS19,2,3,1,6,64.9,61,29.79,0,1
PS19,0,4,1,6,64.9,62.1,29.82,4.6,2
PS19,2,5,1,6,64,60.1,29.83,5.8,0
PS19,2,6,1,6,64,61,29.84,4.6,2
PS19,2,7,1,6,66,61,29.85,4.6,2
PS19,2,8,1,6,68,61,29.85,6.9,2
PS19,2,9,1,6,71.1,61,29.85,4.6,2
PS19,2,10,1,6,73,62.1,29.84,5.8,2
PS19,1,11,1,6,77,61,29.83,3.5,2
PS19,0,12,1,6,78.1,61,29.82,0,1
PS19,1,13,1,6,78.1,60.1,29.79,0,0
PS19,2,14,1,6,81,60.1,29.77,0,1
PS19,2,15,1,6,80.1,62.1,29.75,0,2
PS19,2,16,1,6,77,61,29.75,4.6,2
PS19,2,17,1,6,75,61,29.74,3.5,2
PS19,2,18,1,6,73.9,60.1,29.75,3.5,2
PS19,2,19,1,6,73,61,29.75,0,2
PS19,2,20,1,6,72,61,29.76,4.6,2
PS19,2,21,1,6,71.1,61,29.78,3.5,2
PS19,2,22,1,6,70,62.1,29.78,3.5,2
PS19,1,23,1,6,69.1,63,29.76,4.6,2
PS19,2,0,1,6,69.1,61,29.74,4.6,1
PS19,1,1,1,6,66.9,63,29.75,5.8,2
PS19,1,2,1,6,66,63,29.72,0,1
PS19,1,3,1,6,66,63,29.7,5.8,1
PS19,1,4,1,6,64.9,63,29.68,5.8,1
PS19,0,5,1,6,64,62.1,29.69,4.6,1
PS19,0,6,1,6,64,63,29.69,4.6,0
PS19,0,7,1,6,64,62.1,29.66,5.8,0
