Station_ID,1,2,3,4,5,6,7,8,9,10,11,road_length,intersection,long,lat
0,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.081381,0.129,988561.44,205235.64
1,0.0506,0.1848,0.1387,0.106,0.0177,0.0073,0.0031,0.2902,0.1584,0.0085,0.0346,0.093631,0.143,998089.21,237810.62
2,0.0016,0.0223,0.0621,0.4292,0.1211,0.0332,0.0242,0.1601,0.1008,0.0165,0.0288,0.123645,0.343,985559.1,199567.92
3,0.0064,0.1431,0.0867,0.2006,0.0652,0.0039,0.0392,0.1272,0.276,0.0136,0.0308,0.122644,0.379,1003316.08,248628.43
4,0.2521,0.1916,0.0419,0.0848,0.0218,0.0856,0.1638,0.0673,0.0574,0.0172,0.0151,0.110728,0.319,978930.69,172952.27
5,0.3438,0.2451,0.0398,0.0879,0.0379,0.0248,0.0069,0.1292,0.006,0.031,0.0422,0.074053,0.123,1004224.75,192290.79
6,0.7183,0.03,0.0077,0.0337,0.0421,0.0042,0.0138,0.1109,0.0068,0.0099,0.0226,0.056477,0.119,946162.78,169945.58
7,0.0274,0,0,0.0026,0.003,0.0119,0.74,0,0.1788,0.0107,0.0255,0.035133,0.044,926698.44,142877.24
8,0.0666,0.0895,0.0312,0.0335,0.043,0.1803,0.0868,0.1036,0.0313,0.0543,0.2325,0.079484,0.146,1015941.12,236428.7
9,0.1188,0.1872,0.1548,0.0877,0.0535,0.0339,0.0848,0.1564,0.0676,0.028,0.025,0.093277,0.223,1011391.8,236522.28
10,0.036,0.187,0.2051,0.1487,0.0921,0.0231,0.0209,0.1354,0.0867,0.0519,0.0131,0.093819,0.2,1006387.17,243905.21
11,0.2364,0.0937,0.0143,0.0019,0.0076,0,0.0016,0.3758,0.2625,0.0053,0.0009,0.059953,0.135,1033286.37,207612.49
12,0.5852,0.1281,0.05,0.0551,0.006,0.008,0.0549,0.0669,0.0217,0.0212,0.003,0.092584,0.243,1013872.92,204170.9
